Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Imperial Navy Explosive Energized Membrane,7,9,69.986.608,,,,,,,
Medium Bay Loading Accelerator I,68,96,69.908.552,,,,,,,
Thorax Federation Navy SKIN,5,5,69.901.370,,,,,,,
Infrared XL Blueprint,4,5,69.850.000,,,,,,,
Small Ancillary Armor Repairer,996,3.471,69.823.122,,,,,,,
Dark Blood Large Beam Laser Battery,1,3,69.800.000,,,,,,,
Nemesis Luminaire Rising SKIN,2,2,69.799.830,,,,,,,
X-Large Shield Booster I,16,51,69.747.137,,,,,,,
Domination Phased Plasma S,7,3.492,69.733.326,,,,,,,
Rook Guristas SKIN,1,1,69.709.053,,,,,,,
250mm Light Prototype Siege Cannon,117,389,69.602.591,,,,,,,
Republic Fleet Thermal Armor Hardener,6,7,69.600.084,,,,,,,
XV Anniversary Gift Box (Alpha),2,2,69.600.000,,,,,,,
Decayed Stasis Webifier Mutaplasmid,109,452,69.592.090,,,,,,,
Keres Kopis Edge SKIN,1,1,69.560.000,,,,,,,
Gravid Heavy Warp Disruptor Mutaplasmid,1,1,69.500.000,,,,,,,
Medium Energy Burst Aerator II,18,44,69.451.383,,,,,,,
Lif Frontier Safeguarder SKIN,6,8,69.340.695,,,,,,,
Armageddon Navy Issue Cold Iron SKIN,9,10,69.334.876,,,,,,,
Shield Power Relay I,69,298,69.323.811,,,,,,,
Capital Energy Collision Accelerator I,1,1,69.312.750,,,,,,,
Felon' Ion Blaster Cannon I,1,3,69.152.000,,,,,,,
Low-grade Grail Omega,4,6,69.150.488,,,,,,,
Plutonium Charge XL Blueprint,8,8,69.066.667,,,,,,,
Civilian Armor Repairer,580,2.626,69.060.847,,,,,,,
Typhoon Republic Fleet SKIN,4,4,69.016.599,,,,,,,
Medium Thermal Armor Reinforcer I Blueprint,13,29,69.010.114,,,,,,,
Shadow Large Railgun Battery,1,1,68.990.000,,,,,,,
Pithum A-Type Explosive Shield Amplifier,37,59,68.938.636,,,,,,,
Large Ancillary Remote Armor Repairer,21,36,68.926.206,,,,,,,
Integrated' Wasp,12,43,68.849.464,,,,,,,
Women's 'Gunner' Jacket (Sansha's Nation),2,2,68.786.000,,,,,,,
800mm Heavy Gallium Repeating Cannon,62,198,68.778.553,,,,,,,
Dread Guristas Scourge Rocket,6,4.776,68.726.310,,,,,,,
Medium Dynamic Fuel Valve II,7,8,68.696.710,,,,,,,
Curse Glacial Drift SKIN,3,3,68.682.008,,,,,,,
Drake Raata Sunset SKIN,6,6,68.635.787,,,,,,,
Medium Ghoul Compact Energy Nosferatu,246,567,68.625.909,,,,,,,
Electromechanical Interface Nexus,5,60,68.620.757,,,,,,,
Complex Asteroid Mining Crystal Type C II,4,38,68.552.174,,,,,,,
Caracal Headhunter SKIN,18,21,68.469.127,,,,,,,
Guardian Cold Iron SKIN,15,16,68.450.812,,,,,,,
Capital Ion Thruster Blueprint,3,4,68.437.500,,,,,,,
Women's 'Impress' Skirt (green/gold),1,1,68.340.000,,,,,,,
Rifter Krusual SKIN,4,4,68.284.259,,,,,,,
Thorax Aliastra SKIN,2,2,68.245.000,,,,,,,
Endurance Angel Industrial Livery SKIN,1,1,68.200.000,,,,,,,
Vigil Fleet Issue Dawn of Liberation SKIN,2,2,68.167.778,,,,,,,
Thon's Modified Thermal Shield Amplifier,1,1,68.150.000,,,,,,,
Discovery Survey Probe I Blueprint,17,21,68.136.835,,,,,,,
Vidette Element,3,10,68.124.628,,,,,,,
Regulated Mega Electron Phase Cannon I,74,191,68.060.871,,,,,,,
Tornado Aurora Universalis SKIN,2,3,68.029.059,,,,,,,
Epithal Spirit SKIN,3,3,67.988.255,,,,,,,
EMP S,576,3.723.606,67.900.180,,,,,,,
Decayed Heat Sink Mutaplasmid,89,208,67.854.006,,,,,,,
Women's Jita 4-4 Crew Pants,1,1,67.793.361,,,,,,,
Magnate Blueprint,13,18,67.785.940,,,,,,,
Small EM Shield Reinforcer I,990,4.024,67.773.490,,,,,,,
Caldari Navy Plutonium Charge M,26,85.399,67.761.585,,,,,,,
Medium Drone Durability Enhancer I,22,45,67.713.120,,,,,,,
Dual Modal Heavy Laser I,107,239,67.708.323,,,,,,,
Basic' Co-Processor,8,15,67.691.911,,,,,,,
Crucifier,73,232,67.615.111,,,,,,,
Pontifex Ironblood SKIN,10,11,67.602.471,,,,,,,
Pilgrim Exoplanets Hunter SKIN,4,5,67.556.761,,,,,,,
Vespa I Blueprint,25,34,67.513.819,,,,,,,
350mm Prototype Gauss Gun,46,89,67.508.755,,,,,,,
Capital Superconductor Rails Blueprint,3,6,67.500.000,,,,,,,
Imperial Navy Sergeant Insignia II,93,2.444,67.388.868,,,,,,,
Pure Standard Sooth Sayer Booster,2,1.37,67.354.730,,,,,,,
Gallente Shuttle Spirit SKIN,3,3,67.326.049,,,,,,,
Porpoise Caldari Industrial Livery SKIN,3,3,67.087.021,,,,,,,
Mjolnir Auto-Targeting Cruise Missile I Blueprint,13,13,67.046.717,,,,,,,
Tremor S,149,1.104.709,67.040.621,,,,,,,
Apocalypse Blood Raiders SKIN,9,10,67.034.873,,,,,,,
True Sansha Dual Light Beam Laser,4,5,67.028.049,,,,,,,
Medium Projectile Burst Aerator I,48,158,66.887.579,,,,,,,
Ionic Solutions,26,41.212.878,66.882.928,,,,,,,
Uncommon Moon Mining Crystal Type B I,15,86,66.861.884,,,,,,,
Small Core Defense Operational Solidifier I,25,72,66.832.477,,,,,,,
Retriever Gallente Industrial Livery SKIN,2,2,66.818.242,,,,,,,
Armageddon Cold Iron SKIN,13,15,66.817.897,,,,,,,
Dark Blood Dual Light Beam Laser,4,7,66.766.223,,,,,,,
Small Nanobot Accelerator I,96,166,66.764.617,,,,,,,
Medium Memetic Algorithm Bank II,10,13,66.754.706,,,,,,,
Catalyst Metalbee Gallente SKIN (Permanent),5,5,66.680.476,,,,,,,
Medium AutoCannon Battery Blueprint,1,1,66.666.667,,,,,,,
Merlin Blueprint,14,21,66.641.871,,,,,,,
Large Hybrid Metastasis Adjuster II,5,6,66.605.392,,,,,,,
Hornet I,996,11.685,66.590.693,,,,,,,
Setele's Modified Thermal Coating,1,1,66.535.000,,,,,,,
Dark Blood Focused Medium Pulse Laser,7,8,66.441.124,,,,,,,
Batch Compressed Luminous Kernite,5,1.871,66.432.148,,,,,,,
Abaddon Cold Iron SKIN,15,16,66.426.937,,,,,,,
Basic' Multispectrum Coating,6,37,66.386.885,,,,,,,
Drake Spirit SKIN,2,2,66.291.200,,,,,,,
Simple Asteroid Mining Crystal Type B I,56,787,66.240.695,,,,,,,
Women's 'Fatal Elite' Combat Boots,4,4,66.219.500,,,,,,,
250mm Light 'Scout' Artillery I,119,343,66.206.679,,,,,,,
Myrmidon Navy Issue Inner Zone Vanguard SKIN,14,15,66.205.676,,,,,,,
Domination Medium Proton Smartbomb,6,8,66.107.656,,,,,,,
Pith C-Type Kinetic Shield Hardener,9,13,66.083.966,,,,,,,
Low-grade Spur Epsilon,3,3,65.990.000,,,,,,,
Thermoelectric Catalysts,85,9.89,65.966.727,,,,,,,
Prophecy Warp Convergence SKIN,4,4,65.922.300,,,,,,,
Amarr Religious Mask,5,11,65.891.493,,,,,,,
Nyx Biosecurity Responders SKIN,6,7,65.880.480,,,,,,,
Rattlesnake Glacial Drift SKIN,1,1,65.846.020,,,,,,,
Shadow Medium Railgun Battery,1,2,65.818.125,,,,,,,
Ion Blaster Cannon I Blueprint,7,7,65.812.500,,,,,,,
Moa Guristas SKIN,5,6,65.735.955,,,,,,,
Standup Cruise Missile Blueprint,9,9,65.714.286,,,,,,,
Low-grade Jackal Omega,3,10,65.667.843,,,,,,,
Gatling Modulated Energy Beam I,65,158,65.666.332,,,,,,,
Basic' Power Diagnostic System,6,7,65.549.366,,,,,,,
Maulus Blueprint,13,20,65.545.136,,,,,,,
True Sansha Focused Medium Beam Laser,6,7,65.534.396,,,,,,,
Multispectrum Energized Membrane I,102,351,65.464.084,,,,,,,
Multifrequency S,587,5.496,65.447.938,,,,,,,
800mm Heavy Carbine Repeating Cannon I,68,194,65.395.251,,,,,,,
Micro YF-12a Smartbomb,1,1,65.343.333,,,,,,,
Brokara's Modified Kinetic Energized Membrane,1,1,65.280.000,,,,,,,
Covetor Gallente Industrial Livery SKIN,3,3,65.121.975,,,,,,,
Legion Glacial Drift SKIN,3,3,65.121.389,,,,,,,
Phoenix Wiyrkomi SKIN,1,1,65.058.600,,,,,,,
Drake Exoplanets Hunter SKIN,4,5,65.034.340,,,,,,,
Women's 'Mitral' Boots (cream),1,1,65.000.000,,,,,,,
Compressed Jet Ochre,25,33.036,64.971.755,,,,,,,
Heavy Initiated Compact Warp Scrambler Blueprint,5,11,64.933.333,,,,,,,
Mjolnir Fury XL Cruise Missile,3,3.413,64.926.659,,,,,,,
Probe Blueprint,15,18,64.874.693,,,,,,,
Obelisk Valimor Legacy SKIN,1,1,64.865.546,,,,,,,
Lockbreaker Bomb,13,66,64.794.021,,,,,,,
Prophecy Luminaire Zenith SKIN,2,3,64.786.388,,,,,,,
Centii A-Type Explosive Coating,32,56,64.771.735,,,,,,,
Minmatar Encoder Splice,3,23,64.758.052,,,,,,,
Skiff Minmatar Industrial Livery SKIN,2,2,64.731.837,,,,,,,
Mega Modal Pulse Laser I,92,312,64.729.778,,,,,,,
Women's 'Vise' Cybernetic Arm (black and orange ringed right),2,2,64.679.538,,,,,,,
Medium Drone Repair Augmentor II,6,7,64.639.875,,,,,,,
Griffin Blueprint,18,18,64.605.012,,,,,,,
Dread Guristas 350mm Railgun,11,36,64.568.051,,,,,,,
Skirmish Command Burst I Blueprint,7,38,64.553.048,,,,,,,
Capital Cap Battery I,6,8,64.545.335,,,,,,,
Domination EMP S,7,1.348,64.538.987,,,,,,,
Capital I-ax Enduring Remote Armor Repairer Blueprint,1,1,64.500.000,,,,,,,
Scourge Javelin Rocket,174,1.285.600,64.442.289,,,,,,,
Eifyr and Co. 'Rogue' Navigation NN-602,7,11,64.440.516,,,,,,,
Vherokior Tribe Strong Box,1,1,64.349.600,,,,,,,
Batch Compressed Kernite,3,1.016,64.347.829,,,,,,,
Stabber Hunter's Quiver SKIN,5,7,64.335.963,,,,,,,
Inertial Stabilizers I,511,2.85,64.306.546,,,,,,,
Deep Core Mining Laser I Blueprint,16,16,64.286.667,,,,,,,
Large 'Outlaw' Shield Booster,5,8,64.201.902,,,,,,,
Amarr Strategic Cruiser,27,34,64.136.938,,,,,,,
Defunct Name Change Token,2,2,64.104.444,,,,,,,
Low-grade Talon Epsilon,2,3,64.045.000,,,,,,,
Simple Asteroid Mining Crystal Type C I Blueprint,20,21,64.000.000,,,,,,,
Arch Angel EMP M,11,45.746,63.975.962,,,,,,,
Giant Freight Container,72,273,63.902.770,,,,,,,
Chimera Exoplanets Hunter SKIN,1,1,63.878.333,,,,,,,
200mm Rolled Tungsten Compact Plates,410,1.548,63.866.129,,,,,,,
150mm Light 'Scout' Autocannon I,111,351,63.826.123,,,,,,,
Procurer Gallente Industrial Livery SKIN,2,2,63.812.245,,,,,,,
Small Drone Control Range Augmentor II,9,10,63.808.867,,,,,,,
Gallente Encoder Splice,3,16,63.802.245,,,,,,,
Caracal Spirit SKIN,2,2,63.757.422,,,,,,,
Capsule Capsuleer Elite XV SKIN,8,12,63.754.439,,,,,,,
Shield Recharger II,154,332,63.751.915,,,,,,,
Omen Navy Issue Purity of the Throne SKIN,1,1,63.743.510,,,,,,,
R.A.M.- Armor/Hull Tech,108,35.886,63.721.479,,,,,,,
Rifter Nefantar SKIN,1,1,63.703.125,,,,,,,
Ragnarok Glacial Drift SKIN,2,2,63.701.505,,,,,,,
Corelum B-Type EM Energized Membrane,7,10,63.676.856,,,,,,,
Decayed 500MN Microwarpdrive Mutaplasmid,48,144,63.652.286,,,,,,,
Vagabond Glacial Drift SKIN,4,4,63.591.186,,,,,,,
Decayed Large Cap Battery Mutaplasmid,67,155,63.554.361,,,,,,,
Balefire' Rocket Launcher,11,28,63.541.573,,,,,,,
Basic' Magnetic Field Stabilizer,6,6,63.524.524,,,,,,,
Small Azeotropic Restrained Shield Extender,407,970,63.523.057,,,,,,,
Batch Compressed Glossy Scordite,2,36.819,63.475.094,,,,,,,
Women's 'Executor' Coat (red/gold),2,3,63.467.031,,,,,,,
True Sanshas Xray S,2,4,63.466.677,,,,,,,
Blackbird Luminaire Zenith SKIN,1,1,63.425.000,,,,,,,
Small Projectile Ambit Extension II,21,36,63.396.689,,,,,,,
Compressed Vitric Hedbergite,8,37.763,63.380.294,,,,,,,
Batch Compressed Viscous Pyroxeres,5,3.456,63.371.657,,,,,,,
Small Inverted Signal Field Projector II,11,27,63.338.071,,,,,,,
Claw Aurora Universalis SKIN,4,5,63.333.787,,,,,,,
Zainou 'Deadeye' Small Hybrid Turret SH-604,2,2,63.314.876,,,,,,,
Sleipnir Glacial Drift SKIN,3,3,63.311.811,,,,,,,
Navitas Blueprint,9,11,63.309.984,,,,,,,
Manticore Glacial Drift SKIN,3,3,63.289.010,,,,,,,
Dual Anode Heavy Particle Stream I,94,205,63.265.927,,,,,,,
Federation Navy Sergeant Insignia II,193,3.602,63.254.885,,,,,,,
Capital Dynamic Fuel Valve II,2,2,63.244.500,,,,,,,
Capital Plasma Thruster Blueprint,3,4,63.214.286,,,,,,,
Guristas Inferno Heavy Missile,25,47.909,63.177.212,,,,,,,
Corpum C-Type Medium Remote Capacitor Transmitter,18,35,63.173.117,,,,,,,
Eifyr and Co. 'Rogue' Acceleration Control AC-602,7,9,63.172.633,,,,,,,
Myrmidon Capsuleer Day XV SKIN,2,2,63.144.727,,,,,,,
Arch Angel Fusion XL,10,24.67,63.068.908,,,,,,,
Republic Fleet 150mm Autocannon,5,9,63.026.111,,,,,,,
Selynne's Modified Thermal Coating,1,1,62.995.000,,,,,,,
Capital Coaxial Compact Remote Armor Repairer Blueprint,1,1,62.990.000,,,,,,,
Zainou 'Deadeye' Medium Hybrid Turret MH-802,6,7,62.948.345,,,,,,,
Bhaalgorn Glacial Drift SKIN,3,4,62.940.243,,,,,,,
Garde I,55,446,62.772.837,,,,,,,
Dread Guristas Antimatter Charge S,8,6.801,62.687.354,,,,,,,
Synth Mindflood Booster Reaction Formula,3,9,62.663.581,,,,,,,
Eagle Exoplanets Hunter SKIN,2,2,62.549.990,,,,,,,
Guristas Antimatter Charge XL,8,30.029,62.549.143,,,,,,,
Kaikka's Modified Kinetic Shield Amplifier,1,1,62.480.000,,,,,,,
Medium Auxiliary Thrusters I,69,142,62.438.580,,,,,,,
Scan Acquisition Array I,371,552,62.438.498,,,,,,,
Pure Standard Blue Pill Booster,2,1.9,62.415.319,,,,,,,
Domination Titanium Sabot L,4,3.157,62.404.540,,,,,,,
Centii C-Type Small Remote Armor Repairer,6,9,62.345.320,,,,,,,
Brynn's Modified Thermal Energized Membrane,1,1,62.340.000,,,,,,,
Triglavian Quantum Engineering,35,85,62.307.401,,,,,,,
Praxis Versus Redforce SKIN,2,2,62.304.500,,,,,,,
Incursus Inner Zone Shipping SKIN,1,1,62.300.000,,,,,,,
Slasher Deathglow Remnant SKIN,16,18,62.279.021,,,,,,,
Rorqual Caldari Industrial Livery SKIN,1,1,62.193.733,,,,,,,
Insurgent Trojan Fragments,4,251,62.175.109,,,,,,,
Heavy Energy Neutralizer I Blueprint,9,11,62.136.597,,,,,,,
Moros Valimor Legacy SKIN,2,2,62.063.125,,,,,,,
Caracal Navy Issue Exoplanets Hunter SKIN,4,4,61.988.554,,,,,,,
Small Core Defense Charge Economizer II,8,14,61.986.975,,,,,,,
Guristas Mjolnir Heavy Missile,28,51.528,61.961.195,,,,,,,
Small Beam Laser Specialization,32,46,61.814.692,,,,,,,
Low-grade Talon Delta,3,4,61.740.000,,,,,,,
Imperial Navy Mega Beam Laser,10,13,61.737.492,,,,,,,
Large Salvage Tackle I,5,6,61.713.315,,,,,,,
Sacrilege Cold Iron SKIN,14,15,61.703.639,,,,,,,
Central System Controller,82,8.285,61.691.113,,,,,,,
Men's 'Outlaw' Pants (Guristas),4,5,61.689.135,,,,,,,
Jackdaw Glacial Drift SKIN,3,3,61.675.941,,,,,,,
Inherent Implants 'Noble' Repair Proficiency RP-902,8,13,61.647.977,,,,,,,
Compressed Gleaming Spodumain,6,12.601,61.625.518,,,,,,,
Dread Guristas Mjolnir Heavy Assault Missile,3,1.484,61.573.977,,,,,,,
Caldari Navy Lead Charge S,36,120.243,61.503.711,,,,,,,
Women's IGC Location Scout Suit,1,1,61.500.000,,,,,,,
Caracal Guristas SKIN,2,2,61.498.765,,,,,,,
Large Egress Port Maximizer I,6,8,61.431.001,,,,,,,
Apocalypse Navy Issue Exoplanets Hunter SKIN,3,5,61.406.915,,,,,,,
"Little Helper, Female",2,4,61.406.221,,,,,,,
Acolyte I,953,13.492,61.387.080,,,,,,,
Dual 650mm Repeating Cannon I,9,48,61.356.995,,,,,,,
Procurer Minmatar Industrial Livery SKIN,3,3,61.343.551,,,,,,,
Neutron Blaster Cannon I Blueprint,4,5,61.272.727,,,,,,,
Shield EM Resistance Script Blueprint,9,12,61.249.000,,,,,,,
Crusader Purity of the Throne SKIN,1,1,61.221.600,,,,,,,
Chimera Hunter's Quiver SKIN,4,4,61.123.986,,,,,,,
Multifrequency XL,8,39,61.099.348,,,,,,,
Exceptional Moon Mining Crystal Type A I,16,177,60.901.037,,,,,,,
Redeemer Imperial Navy SKIN,7,8,60.888.280,,,,,,,
Decayed Medium Armor Repairer Mutaplasmid,44,106,60.886.208,,,,,,,
Large Sentry Damage Augmentor I,11,12,60.848.102,,,,,,,
Omen Navy Issue Warp Convergence SKIN,2,3,60.806.968,,,,,,,
Damnation Cold Iron SKIN,12,14,60.800.473,,,,,,,
Triglavian Sublight Telemeter,58,162.057,60.794.849,,,,,,,
Capital Gravimetric Sensor Cluster Blueprint,4,6,60.750.000,,,,,,,
Caldari Encryption Methods,84,254,60.723.401,,,,,,,
Minmatar Strategic Cruiser,26,31,60.713.222,,,,,,,
Small Kinetic Armor Reinforcer I,125,222,60.696.957,,,,,,,
True Sansha Small Focused Pulse Laser,5,6,60.678.784,,,,,,,
Dread Guristas Dual 250mm Railgun,4,5,60.635.746,,,,,,,
350mm Railgun I,12,34,60.631.187,,,,,,,
Singularity Radiation Convertor,62,2.862,60.606.253,,,,,,,
Exequror Valimor Legacy SKIN,4,4,60.605.320,,,,,,,
Large Azeotropic Restrained Shield Extender,263,1.575,60.571.834,,,,,,,
Shield Explosive Resistance Script Blueprint,9,12,60.554.031,,,,,,,
Anode Light Electron Particle Cannon I,108,314,60.498.926,,,,,,,
Megathron Aurora Universalis SKIN,7,9,60.441.300,,,,,,,
Inferno XL Cruise Missile,3,10.961,60.435.389,,,,,,,
Small Semiconductor Memory Cell I,148,385,60.416.302,,,,,,,
Modified Fluid Router,132,172.005,60.411.399,,,,,,,
Men's 'Form' T-shirt (black),2,2,60.397.694,,,,,,,
Astero Glacial Drift SKIN,3,3,60.397.059,,,,,,,
Dread Guristas Nova Cruise Missile,3,2.026,60.393.746,,,,,,,
Capital Projectile Collision Accelerator I,1,3,60.378.125,,,,,,,
Arbalest' Cruise Launcher I,210,1.445,60.356.771,,,,,,,
Medium Particle Dispersion Projector I,27,75,60.215.999,,,,,,,
Phased Plasma S,383,1.865.952,60.210.233,,,,,,,
Maelstrom Spirit SKIN,2,2,60.173.061,,,,,,,
Men's Minmatar 'Rebellion' T-Shirt,2,2,60.172.600,,,,,,,
Dual Modulated Heavy Energy Beam I,96,210,60.146.588,,,,,,,
Initiated Compact Warp Disruptor,637,2.068,60.106.414,,,,,,,
Gnosis & Punisher SKIN Crate,3,3,60.099.877,,,,,,,
Small F-RX Compact Capacitor Booster,586,1.701,60.086.851,,,,,,,
Tetrimon Precision Booster II,124,330,60.063.791,,,,,,,
Standup Reactor Control Unit I Blueprint,1,2,60.000.000,,,,,,,
Ballista' Tachyon Beam Laser I,1,3,60.000.000,,,,,,,
Catalyst Aliastra SKIN,1,1,60.000.000,,,,,,,
Standup Missile Guidance Enhancer I Blueprint,1,1,60.000.000,,,,,,,
Large Blaster Battery,2,3,59.924.444,,,,,,,
Scale Model of a Blue Box,4,130,59.917.289,,,,,,,
Wheat,69,1.141.403,59.904.880,,,,,,,
Raven Navy Issue Biosecurity Responders SKIN,11,14,59.902.959,,,,,,,
Mega Anode Pulse Particle Stream I,85,273,59.892.045,,,,,,,
Standard XL,6,45,59.761.238,,,,,,,
Capital Algid Hybrid Administrations Unit II,1,3,59.730.000,,,,,,,
Khanid Navy Multispectrum Coating,1,1,59.720.000,,,,,,,
Longbow' Small Focused Pulse Laser I,3,7,59.685.375,,,,,,,
Capital Hybrid Ambit Extension II,2,3,59.685.000,,,,,,,
Capital Warhead Flare Catalyst I,4,5,59.677.899,,,,,,,
Medium Rocket Fuel Cache Partition I,61,166,59.657.375,,,,,,,
R.Db - Roden Shipyards Blueprint,7,89,59.632.172,,,,,,,
Tornado Argyros Elite XVI SKIN,4,5,59.618.170,,,,,,,
Catalyst Harmonious Ascension SKIN,2,2,59.597.500,,,,,,,
Capital Hull Repairer I,1,1,59.540.000,,,,,,,
Large Dynamic Fuel Valve II,2,3,59.535.062,,,,,,,
Imperial Navy Microwave S,64,455,59.487.617,,,,,,,
Low-grade Halo Beta,2,2,59.475.111,,,,,,,
Magma Mercoxit,8,1.41,59.397.307,,,,,,,
Spatial Attunement Unit,485,7.021,59.363.261,,,,,,,
Inferno XL Torpedo,6,25.415,59.335.996,,,,,,,
Angels Arisen Firework,20,4.868,59.302.281,,,,,,,
Centii A-Type EM Coating,20,39,59.217.746,,,,,,,
Inferno Javelin Heavy Assault Missile,103,862.278,59.172.019,,,,,,,
Caldari Navy Iridium Charge S,55,192.691,59.092.016,,,,,,,
Arbitrator Blood Raiders SKIN,14,15,59.031.532,,,,,,,
Bouncer I,43,370,58.961.761,,,,,,,
Inherent Implants 'Lancer' Controlled Bursts CB-702,4,7,58.914.993,,,,,,,
Information Command Specialist,22,23,58.851.267,,,,,,,
Wasp EC-900 Blueprint,7,8,58.718.456,,,,,,,
Hecate Exoplanets Hunter SKIN,4,7,58.690.678,,,,,,,
Dread Guristas Inferno Cruise Missile,3,1.916,58.686.536,,,,,,,
Pike' Small EMP Smartbomb I,6,11,58.633.261,,,,,,,
Armageddon Tash-Murkon SKIN,1,1,58.625.000,,,,,,,
Ferox Navy Issue Steel Cardinal SKIN,11,13,58.613.917,,,,,,,
Quest Survey Probe I Blueprint,10,15,58.610.556,,,,,,,
Medium Algid Hybrid Administrations Unit I,5,14,58.577.956,,,,,,,
Pacifier Glacial Drift SKIN,4,4,58.575.143,,,,,,,
Capital Egress Port Maximizer I Blueprint,1,1,58.500.000,,,,,,,
Caldari Navy Tungsten Charge S,42,107.46,58.495.196,,,,,,,
Medium 'Lone Ranger' Shield Booster,4,4,58.427.014,,,,,,,
Pithum B-Type Kinetic Shield Amplifier,14,19,58.410.565,,,,,,,
Revenant Glacial Drift SKIN,3,4,58.375.946,,,,,,,
Depleted Uranium XL Blueprint,3,13,58.343.220,,,,,,,
Pure Standard Drop Booster,3,2.7,58.333.791,,,,,,,
Guristas Ion Field Projection Battery,3,4,58.330.375,,,,,,,
Centum B-Type EM Energized Membrane,5,5,58.275.880,,,,,,,
Thorium Charge XL Blueprint,6,18,58.260.938,,,,,,,
Small Core Defense Field Purger I,155,414,58.231.455,,,,,,,
Osprey Aurora Universalis SKIN,1,2,58.224.862,,,,,,,
Arbitrator Luminaire Zenith SKIN,1,1,58.137.500,,,,,,,
Small Drone Speed Augmentor II,7,9,58.132.120,,,,,,,
Shadow Sensor Dampening Battery,3,6,58.085.000,,,,,,,
Gallente Shuttle,746,3.556,58.082.757,,,,,,,
Nova Rage Rocket,241,1.407.884,58.072.371,,,,,,,
Caracal Navy Issue Ghostbird SKIN,15,17,58.058.564,,,,,,,
Capital Energy Nosferatu I Blueprint,1,1,58.000.000,,,,,,,
Minmatar Decoder Package,2,7,58.000.000,,,,,,,
Cyclone Warp Convergence SKIN,3,3,57.983.222,,,,,,,
Small Railgun Specialization,31,42,57.981.264,,,,,,,
Vexor Aurora Universalis SKIN,9,11,57.875.568,,,,,,,
Scourge Light Missile,858,4.926.703,57.833.041,,,,,,,
Women's 'Outlaw' Pants (Blood Raiders),3,3,57.826.726,,,,,,,
Cerberus Exoplanets Hunter SKIN,3,3,57.675.870,,,,,,,
800mm Repeating Cannon I Blueprint,8,8,57.673.719,,,,,,,
Atron Blueprint,16,19,57.620.219,,,,,,,
Nyx Glacial Drift SKIN,2,2,57.584.891,,,,,,,
Iron Charge XL Blueprint,6,17,57.537.500,,,,,,,
Small Artillery Specialization,27,38,57.429.217,,,,,,,
Machariel Versus Redforce SKIN,6,7,57.426.315,,,,,,,
Large Targeting Systems Stabilizer II,2,3,57.409.687,,,,,,,
Infinite Celebrations Firework,69,112.827,57.394.980,,,,,,,
Zainou 'Snapshot' Defender Missiles DM-803,2,2,57.373.433,,,,,,,
Small Powergrid Subroutine Maximizer II,12,16,57.309.495,,,,,,,
Medium Gravity Capacitor Upgrade II,15,16,57.240.852,,,,,,,
Crucifier Navy Issue Glacial Drift SKIN,3,4,57.209.812,,,,,,,
Punisher Blueprint,18,30,57.206.832,,,,,,,
Low-grade Halo Alpha,5,5,57.132.907,,,,,,,
Caldari Navy Plutonium Charge S,25,53.271,57.106.039,,,,,,,
Nova Heavy Missile,343,2.193.934,57.084.400,,,,,,,
Pure Synth Mindflood Booster,4,1.761,57.069.398,,,,,,,
Zainou 'Deadeye' Missile Projection MP-702,6,8,57.062.894,,,,,,,
Gauntlet' Small Focused Beam Laser I,6,10,57.058.824,,,,,,,
General Storage,3,4,57.041.250,,,,,,,
Magnate Navy Issue Ironblood SKIN,8,9,57.022.266,,,,,,,
Onyx Glacial Drift SKIN,2,3,57.019.277,,,,,,,
Dark Blood Ultraviolet M,5,13,57.015.814,,,,,,,
Venture Amarr Industrial Livery SKIN,12,13,56.973.874,,,,,,,
Superconducting Magnetometric Amplifier,1,5,56.933.972,,,,,,,
Sanshas Multifrequency L,6,53,56.929.793,,,,,,,
Dread Guristas Crystal Tag,49,506,56.924.917,,,,,,,
Uncommon Moon Mining Crystal Type C I,2,29,56.869.204,,,,,,,
Amarr MIY-1 Nexus Chip,15,100,56.818.604,,,,,,,
Women's Jita 4-4 Crew Top,2,2,56.644.757,,,,,,,
EMP XL,7,26.428,56.564.196,,,,,,,
Drone Interfacing,82,101,56.534.968,,,,,,,
Maulus,79,203,56.501.977,,,,,,,
Nova Cruise Missile Blueprint,19,23,56.501.966,,,,,,,
Bustard Exoplanets Hunter SKIN,2,5,56.453.470,,,,,,,
Caldari Shuttle Sukuuvestaa SKIN,1,1,56.438.657,,,,,,,
Skiff Caldari Industrial Livery SKIN,1,1,56.386.875,,,,,,,
Standard Mindflood Booster Reaction Formula,4,8,56.376.153,,,,,,,
Cormorant Aurora Universalis SKIN,8,10,56.256.479,,,,,,,
Shield Thermal Resistance Script Blueprint,8,11,56.250.000,,,,,,,
Prophecy Cold Iron SKIN,14,15,56.246.202,,,,,,,
Inferno Auto-Targeting Cruise Missile I Blueprint,16,16,56.238.168,,,,,,,
Capital Shield Extender I Blueprint,5,6,56.222.222,,,,,,,
Sabre Permaband - Warp to the Dance Floor SKIN,6,8,56.215.898,,,,,,,
Women's Exoplanets Hunter Mission Suit,2,2,56.215.828,,,,,,,
Blood Dagger Firework,440,210.793,56.145.890,,,,,,,
Exigent Sentry Drone Precision Mutaplasmid,9,31,56.099.755,,,,,,,
Anode Scoped Dual Giga Beam Laser,2,2,56.090.000,,,,,,,
