Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
Executioner Purity of the Throne SKIN,2,3,57.744.000,
Pithum A-Type Explosive Shield Amplifier,31,58,57.740.514,
Caldari Navy Tungsten Charge S,34,99.489,57.722.564,
Praetor EV-900 Blueprint,6,9,57.704.474,
Capital Emergency Hull Energizer II,2,2,57.680.000,
Scourge Light Missile,804,4.447.802,57.668.063,
350mm 'Scout' Accelerator Cannon,44,95,57.654.499,
Navitas Blueprint,13,23,57.514.927,
Ark Cold Iron SKIN,6,6,57.401.666,
Shield Thermal Resistance Script Blueprint,10,11,57.380.953,
Ladar ECM I,12,87,57.374.806,
Mega Beam Laser I,10,25,57.374.220,
Vindicator Versus Blueforce SKIN,3,3,57.372.902,
Pike' Small EMP Smartbomb I,4,4,57.368.755,
Imperial Navy Fleet Commander Insignia,6,53,57.312.000,
Anshar Biosecurity Responders SKIN,7,7,57.241.588,
Onyx Wiyrkomi SKIN,2,3,57.224.349,
Ammatar Navy Small Focused Beam Laser,2,4,57.195.000,
Minmatar Encryption Methods,88,285,57.057.842,
Amarr Shuttle,952,3.768,57.000.867,
Defender Launcher I Blueprint,11,12,57.000.000,
Women's Rubedo Richesse Pants,6,6,56.999.366,
Dark Blood Large Pulse Laser Battery,3,4,56.965.440,
Astero SOE Blue Cell,3,3,56.936.925,
Women's 'Strut' Pants (camo),1,1,56.935.000,
Uncommon Moon Mining Crystal Type C I,2,8,56.869.204,
Helios Spirit SKIN,3,3,56.857.574,
Remote Tracking Computer II,23,59,56.835.579,
Eos Spirit SKIN,4,5,56.813.376,
Federation Navy Lead Charge L,12,37.586,56.807.639,
Decayed Medium Armor Repairer Mutaplasmid,40,101,56.739.966,
Medium Energy Metastasis Adjuster II,9,16,56.727.919,
Eifyr and Co. 'Rogue' Fuel Conservation FC-804,2,2,56.695.014,
Claymore Exoplanets Hunter SKIN,3,6,56.668.042,
Capital Rocket Fuel Cache Partition I,1,1,56.640.000,
Uranium Charge M,273,691.012,56.561.567,
Curse Glacial Drift SKIN,8,8,56.559.513,
Mega Anode Pulse Particle Stream I,95,296,56.554.713,
Imperial Navy Dual Light Beam Laser,6,9,56.502.942,
Arch Angel Phased Plasma L,7,22.598,56.450.401,
Compressed Pellucid Crokite,35,40.186,56.442.020,
Heavy Armor Maintenance Bot I,33,235,56.415.560,
Bustard Exoplanets Hunter SKIN,2,2,56.400.000,
Kestrel Blueprint,14,21,56.375.398,
Obelisk Glacial Drift SKIN,6,6,56.340.868,
Thukker Component Assembly Array,1,1,56.250.000,
Moa Warp Convergence SKIN,4,6,56.235.469,
Large Proton Smartbomb I,9,28,56.206.038,
Chimera Hunter's Quiver SKIN,4,4,56.172.613,
Amarr MIY-1 Nexus Chip,12,85,56.138.120,
Slasher Blueprint,22,28,56.083.643,
Amarr Cruiser,47,61,56.012.101,
Blood Multifrequency S,6,28,55.989.832,
Standup Co-Processor Array I,4,5,55.977.315,
Mjolnir Auto-Targeting Cruise Missile I,134,737.686,55.959.710,
Standard Blue Pill Booster Reaction Formula,4,6,55.934.985,
Apotheosis,59,124,55.889.338,
Cynabal Versus Redforce SKIN,5,6,55.877.795,
Sigil Cold Iron SKIN,5,6,55.869.042,
Ark Exoplanets Hunter SKIN,2,2,55.849.900,
Zainou 'Gnome' Shield Management SM-702,6,6,55.811.684,
Imperial Navy Ultraviolet S,70,789,55.711.134,
Rorqual Sansha Industrial Livery SKIN,3,3,55.694.280,
Standard L,135,3.074,55.643.852,
Omen Versus Redforce SKIN,3,4,55.622.318,
Dread Guristas Crystal Tag,37,408,55.535.459,
Mercoxit,10,1.01,55.524.579,
Caracal Matigu Seabeast SKIN,2,2,55.418.857,
Small 'Siesta' Capacitor Booster,6,9,55.412.171,
Acolyte I,896,14.327,55.404.218,
Giant Secure Container Blueprint,10,13,55.395.916,
Autotrophs,14,28.972.762,55.369.779,
Women's 'Corsair' Heels (black),5,5,55.360.410,
Celestis Federation Navy SKIN,5,5,55.303.138,
Heavy Energy Neutralizer I,21,66,55.288.685,
Women's 'Outlaw' Boots (Guristas),4,7,55.270.550,
Men's 'Sterling' Dress Shirt (navy),2,2,55.263.000,
Thorium Charge XL Blueprint,5,5,55.260.938,
Men's Zakura Zakitsu Exploration Suit,1,1,55.250.888,
Brutix Valimor Legacy SKIN,2,2,55.222.857,
Curse Order of Tetrimon SKIN,3,3,55.218.134,
Onyx Steel Cardinal SKIN,1,1,55.200.000,
Small Core Defense Operational Solidifier I,22,56,55.135.339,
Dark Blood Radio M,12,44,55.006.311,
Gila Abyssal Firestorm SKIN,1,1,55.000.000,
Nova Auto-Targeting Cruise Missile I Blueprint,23,23,54.971.456,
Crucifier Blueprint,17,21,54.927.441,
Micro EMP Smartbomb I,1,1,54.900.000,
Zainou 'Gypsy' Signature Analysis SA-702,5,6,54.889.453,
Federation Navy Kinetic Armor Hardener,6,9,54.749.864,
Wasp EC-900,39,252,54.747.356,
Low-grade Centurion Alpha,3,3,54.649.133,
Shadow Serpentis EM Armor Hardener,35,48,54.574.070,
Caldari Navy Captain Insignia V,56,1.716,54.530.695,
Ammatar Mandate Starbase Charter,2,1.269,54.525.282,
Epithal Spirit SKIN,3,3,54.524.866,
Phase Inversion Battery,8,17,54.515.582,
Capital Remote Hull Repairer I,3,5,54.480.300,
Leviathan Wiyrkomi SKIN,2,2,54.436.327,
Inherent Implants 'Lancer' Controlled Bursts CB-702,6,7,54.377.119,
Drake Aurora Universalis SKIN,12,15,54.328.606,
Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-603,24,36,54.326.123,
Merlin Harmonious Ascension SKIN,1,3,54.234.823,
Compressed Abyssal Talassonite,3,25.392,54.076.525,
Sabre Aurora Universalis SKIN,10,11,54.063.302,
Drone Interfacing,62,76,54.062.903,
Dread Guristas 150mm Railgun,3,4,53.986.827,
Mid-grade Talisman Gamma,5,5,53.957.460,
Capital Energy Metastasis Adjuster II,4,9,53.933.716,
Dread Guristas Dual 250mm Railgun,5,10,53.930.180,
Thorax Versus Redforce SKIN,4,4,53.902.167,
720mm Howitzer Artillery I,20,123,53.899.522,
Arazu Spirit SKIN,3,3,53.893.398,
Rorqual Glacial Drift SKIN,5,6,53.885.207,
Tristan Spirit SKIN,3,3,53.862.855,
Small Bay Loading Accelerator I,206,380,53.798.692,
Minmatar Cruiser,45,54,53.736.438,
Rokh Wiyrkomi SKIN,5,5,53.735.251,
Iron Charge XL,4,83.968,53.727.193,
Inquisitor Blueprint,12,20,53.701.461,
Small Pulse Laser Specialization,27,40,53.653.408,
Rifter Semiotique Superluminal SKIN,9,12,53.596.028,
Inferno Javelin XL Torpedo,5,8.917,53.591.416,
Eifyr and Co. 'Gunslinger' Surgical Strike SS-901,27,54,53.552.219,
Dread Guristas Scourge Torpedo,7,4.92,53.546.002,
Fenrir Biosecurity Responders SKIN,7,7,53.488.614,
Epithal Glacial Drift SKIN,9,12,53.445.648,
Inquisitor,35,62,53.435.859,
Iteron Mark V Serpentis SKIN,1,1,53.345.000,
Capital Drone Durability Enhancer I Blueprint,1,1,53.333.333,
Augoror Aurora Universalis SKIN,7,8,53.328.376,
TE-2100 Ample Light Missile Launcher,353,4.793,53.260.890,
Emergent Neurovisual Interface Blueprint,5,7,53.233.333,
Men's 'Eico Flamjaw' Facial Augmentation,8,8,53.191.122,
Mjolnir Heavy Missile Blueprint,30,49,53.176.312,
Tristan Serpentis SKIN,1,1,53.165.000,
Covetor Morphite Shine SKIN,26,31,53.136.118,
Blood Gamma M,6,32,53.117.209,
Coherent Asteroid Mining Crystal Type B I,28,188,53.071.744,
Small Dynamic Fuel Valve II,5,7,53.071.396,
Low-grade Jackal Omega,3,4,53.043.500,
Taranis Spirit SKIN,5,6,52.968.487,
Ogre SD-900 Blueprint,6,9,52.890.666,
Thrasher Harmonious Ascension SKIN,1,1,52.882.500,
Bhaalgorn Glacial Drift SKIN,6,6,52.801.805,
200mm Light Prototype Automatic Cannon,159,420,52.785.874,
Capital Inductive Compact Remote Capacitor Transmitter Blueprint,1,1,52.700.000,
Zainou 'Gnome' Weapon Upgrades WU-1002,4,5,52.660.947,
Rapier Exoplanets Hunter SKIN,3,3,52.573.888,
Low-grade Halo Beta,4,4,52.564.889,
Astero Spectral Shift SKIN,2,2,52.555.000,
Shield Explosive Resistance Script,9,123,52.507.129,
Shield Kinetic Resistance Script Blueprint,9,10,52.500.000,
Component Assembly Array,3,3,52.466.833,
Thermal Energized Membrane II,50,110,52.454.749,
Large Energy Collision Accelerator I,7,10,52.442.812,
Infinite Celebrations Firework,129,72.967,52.436.490,
Large Freight Container,67,253,52.424.466,
Low-grade Halo Delta,1,1,52.399.617,
Tayra Exoplanets Hunter SKIN,4,5,52.321.635,
Men's 'Marshal' Jacket (Sisters of EVE),3,3,52.318.994,
Tayra Wiyrkomi SKIN,3,3,52.238.764,
200mm Rolled Tungsten Compact Plates,352,1.522,52.185.100,
Blood Dagger Firework,63,51.61,52.147.845,
Men's 'Street' Shirt (white),2,2,52.144.634,
Phased Plasma S,376,1.476.049,52.126.903,
Impairor Purity of the Throne SKIN,1,1,52.098.000,
Hyperion Aurora Universalis SKIN,7,7,52.071.735,
Raven Navy Issue Forward 4-4 SKIN,2,2,52.034.190,
Men's 'Commando' Pants (gray/black),1,1,52.015.000,
Shield Harmonizing Charge Blueprint,5,5,52.000.000,
Damage Control I,831,4.12,51.990.482,
Vexor Navy Issue Exoplanets Hunter SKIN,3,3,51.966.375,
Corelum C-Type Thermal Energized Membrane,16,23,51.930.880,
1200mm Heavy Carbine Howitzer I,55,129,51.913.394,
Drone Damage Amplifier I Blueprint,19,60,51.904.720,
Chimera Wiyrkomi SKIN,3,3,51.835.172,
Large Powergrid Subroutine Maximizer I,8,21,51.828.031,
Maulus,71,155,51.816.041,
Crane Versus Blueforce SKIN,4,4,51.812.543,
Planetology,50,64,51.787.928,
Blood Microwave XL,2,10,51.780.701,
Guristas Copper Tag,91,201,51.773.939,
Capital Infectious Scoped Energy Neutralizer Blueprint,1,2,51.750.000,
Dread Guristas Inferno Torpedo,4,1.451,51.710.389,
Large C5-L Compact Shield Booster,194,923,51.690.695,
Porpoise Sansha Industrial Livery SKIN,5,6,51.676.020,
Domination Thermal Coating,4,22,51.287.557,
Heron Zento Isideko Combine SKIN,4,4,51.264.019,
Vexor Spirit SKIN,3,3,51.250.651,
Dark Blood Small Pulse Laser Battery,7,14,51.220.000,
Explosive Shield Amplifier II,61,110,51.200.838,
Worm Versus Redforce SKIN,4,4,51.179.843,
Scan Pinpointing Array I,267,423,51.151.864,
Sleipnir Glacial Drift SKIN,8,9,51.002.847,
Drake Glacial Drift SKIN,8,9,50.998.592,
Archon Spirit SKIN,2,3,50.989.267,
Expired Harvest Anti-Disruptor Booster II,24,402,50.944.482,
Oracle Capsuleer Day XV SKIN,2,2,50.836.420,
Blood Gold Tag,19,250,50.833.633,
Zainou 'Deadeye' Small Hybrid Turret SH-603,28,47,50.786.378,
Spike S,255,2.083.630,50.779.277,
Inherent Implants 'Squire' Capacitor Systems Operation EO-601,21,44,50.769.631,
Domination 150mm Autocannon,7,9,50.759.321,
Tempest Spirit SKIN,2,2,50.740.000,
Men's 'Curate' Coat (dark bronze),1,1,50.710.000,
Men's 'Semiotique Superluminal' Pants,7,7,50.696.933,
Cynabal Versus Blueforce SKIN,6,6,50.667.497,
Gnosis Versus Redforce SKIN,3,3,50.648.201,
Widow Wiyrkomi SKIN,2,2,50.605.449,
Gist C-Type Kinetic Shield Hardener,7,8,50.566.103,
Large Audit Log Secure Container Blueprint,4,10,50.517.149,
Typhoon Hunter's Quiver SKIN,3,4,50.510.230,
Expired Tetrimon Precision Booster II,22,307,50.482.105,
MesmerFlux Condenser Pack S,8,7.104,50.457.380,
Basic' Co-Processor,8,14,50.453.055,
Basic' Tracking Enhancer,6,9,50.440.631,
Decayed Large Cap Battery Mutaplasmid,58,141,50.386.390,
Zainou 'Deadeye' Rapid Launch RL-1001,38,74,50.359.358,
Women's 'Mitral' Boots (cream),1,1,50.340.000,
Gallente Strategic Cruiser,22,23,50.335.209,
Dual 150mm Prototype Gauss Gun,92,230,50.309.005,
Defensive Control Node,90,11.845,50.260.551,
Modal Light Ion Particle Accelerator I,126,387,50.237.892,
Radio XL,4,50,50.214.591,
Simple Asteroid Mining Crystal Type A I Blueprint,25,27,50.194.435,
Rook Exoplanets Hunter SKIN,3,5,50.127.916,
Type-D Restrained Expanded Cargo,278,863,50.127.131,
Low-grade Grail Alpha,3,6,50.109.650,
Executioner Blueprint,11,18,50.033.221,
Unstable Small Energy Nosferatu Mutaplasmid,16,28,50.014.577,
Capital Energy Locus Coordinator I Blueprint,1,1,50.000.000,
Capital Inverted Signal Field Projector I Blueprint,1,1,50.000.000,
Small Beam Laser Battery Blueprint,2,2,50.000.000,
Medium Artillery Battery Blueprint,1,1,50.000.000,
Capital Algid Hybrid Administrations Unit I Blueprint,1,1,50.000.000,
Capital Hybrid Burst Aerator I Blueprint,1,1,50.000.000,
Breacher Nefantar SKIN,1,1,50.000.000,
Capital Gravity Capacitor Upgrade I Blueprint,1,1,50.000.000,
Capital Engine Thermal Shielding I Blueprint,1,1,50.000.000,
Capital Drone Control Range Augmentor I Blueprint,1,1,50.000.000,
Energy Neutralizing Battery Blueprint,1,1,50.000.000,
Republic Fleet Medium Shield Booster,1,1,50.000.000,
Warp Scrambling Battery Blueprint,1,1,50.000.000,
Capital Energy Metastasis Adjuster I Blueprint,1,1,50.000.000,
Capital Drone Scope Chip I Blueprint,1,1,50.000.000,
Capital Energy Collision Accelerator I Blueprint,1,1,50.000.000,
Photon Scattering Array Blueprint,1,1,50.000.000,
Torpedo Battery Blueprint,1,1,50.000.000,
Capital Energy Ambit Extension I Blueprint,1,1,50.000.000,
Endurance Blood Raider Industrial Livery SKIN,1,1,50.000.000,
Capital Hybrid Collision Accelerator I Blueprint,1,1,50.000.000,
Capital Hybrid Locus Coordinator I Blueprint,1,1,50.000.000,
Capital Salvage Tackle I Blueprint,1,1,50.000.000,
Capital Drone Repair Augmentor I Blueprint,1,1,50.000.000,
Capital Emission Scope Sharpener I Blueprint,1,1,50.000.000,
Explosion Dampening Array Blueprint,1,1,50.000.000,
Spatial Destabilization Battery Blueprint,1,1,50.000.000,
Sensor Optimization Charge Blueprint,5,5,50.000.000,
Cruise Missile Battery Blueprint,1,1,50.000.000,
Revelation Cold Iron SKIN,1,1,50.000.000,
Medium Beam Laser Battery Blueprint,1,1,50.000.000,
Capital Dynamic Fuel Valve I Blueprint,1,1,50.000.000,
Capital Energy Discharge Elutriation I Blueprint,1,1,50.000.000,
Medium AutoCannon Battery Blueprint,1,1,50.000.000,
Capital Algid Energy Administrations Unit I Blueprint,1,1,50.000.000,
Ballistic Deflection Array Blueprint,1,1,50.000.000,
Phase Inversion Battery Blueprint,1,1,50.000.000,
Capital I-b Enduring Hull Repairer Blueprint,1,1,50.000.000,
Capital Hybrid Ambit Extension I Blueprint,1,1,50.000.000,
Capital Processor Overclocking Unit II,1,1,50.000.000,
Medium Pulse Laser Battery Blueprint,1,1,50.000.000,
Arbitrator Ardishapur SKIN,1,1,50.000.000,
Capital Energy Burst Aerator I Blueprint,1,1,50.000.000,
Ion Field Projection Battery Blueprint,1,1,50.000.000,
Capital Remote Hull Repairer I Blueprint,2,2,50.000.000,
Crucifier Navy Issue Spirit SKIN,2,2,49.990.000,
Large Algid Hybrid Administrations Unit II,1,1,49.980.000,
Crow Hunter's Quiver SKIN,2,2,49.970.500,
Pure Strong X-Instinct Booster,1,50,49.950.000,
Impel Cold Iron SKIN,4,4,49.941.663,
Small Core Defense Capacitor Safeguard II,11,19,49.927.875,
Men's 'Outlaw' Jacket (Blood Raiders),1,1,49.850.000,
Mid-grade Talisman Delta,2,2,49.836.562,
Nova Precision XL Cruise Missile,2,456,49.780.000,
Megathron Exoplanets Hunter SKIN,1,1,49.760.000,
Crusader Glacial Drift SKIN,7,8,49.735.602,
Men's 'Marshal' Jacket (Sansha's Nation),1,1,49.721.000,
Cap Booster 200 Blueprint,14,25,49.691.871,
Kitsune Guristas SKIN,3,3,49.684.583,
Small Focused Anode Pulse Particle Stream I,116,323,49.642.502,
Domination Titanium Sabot M,5,3.895,49.633.699,
Basic' Power Diagnostic System,6,8,49.611.836,
Harbinger Purity of the Throne SKIN,1,1,49.581.778,
Superconducting Ladar Amplifier Blueprint,4,7,49.560.000,
Sin Spirit SKIN,3,3,49.531.834,
Moa Capsuleer Day XVII SKIN,1,1,49.500.000,
Naglfar Spirit SKIN,1,1,49.500.000,
Decayed Stasis Webifier Mutaplasmid,101,475,49.486.203,
Procurement,29,34,49.484.258,
A Handful of Tiny Stars,1,1,49.481.633,
Light Missile Specialization,42,71,49.480.927,
Small EMP Smartbomb II,35,84,49.454.408,
Capital Memetic Algorithm Bank II,2,2,49.395.573,
Redeemer Exoplanets Hunter SKIN,1,1,49.390.000,
Inertial Stabilizers I,493,2.96,49.339.429,
Prospect Minmatar Industrial Livery SKIN,4,4,49.333.852,
Gallente Shuttle Glacial Drift SKIN,11,12,49.267.918,
Arch Angel Nuclear XL,4,10.831,49.223.798,
Inferno Precision Light Missile,51,426.466,49.190.288,
Small Ancillary Remote Shield Booster,25,82,49.174.270,
Large Projectile Locus Coordinator I,5,50,49.152.073,
Low-grade Centurion Beta,3,3,49.138.806,
Low-grade Jackal Alpha,3,5,49.136.254,
Dread Guristas Tungsten Charge M,7,16.082,49.133.215,
Megathron Navy Issue Exoplanets Hunter SKIN,2,3,49.114.352,
Sanshas Gamma L,12,33,49.087.919,
Tornado Aurora Universalis SKIN,8,9,49.062.428,
Megathron Navy Issue Biosecurity Responders SKIN,6,10,49.040.429,
Capital Solace Scoped Remote Armor Repairer Blueprint,1,1,49.000.000,
Capital S95a Scoped Remote Shield Booster Blueprint,1,1,49.000.000,
Titanium Sabot M,144,826.222,48.944.962,
Wightstorm Sunyata Booster I,215,952,48.892.564,
Sansha Energy Neutralizing Battery,2,3,48.859.688,
Hound Aurora Universalis SKIN,11,11,48.835.428,
Cormorant Exoplanets Hunter SKIN,8,9,48.794.279,
50MN Quad LiF Restrained Microwarpdrive,1.188,3.982,48.759.449,
1200mm Heavy Gallium Cannon,54,111,48.757.332,
Sleeper Heat Nullifying Coil,25,73,48.739.449,
Anode Light Electron Particle Cannon I,109,287,48.622.208,
Hammerhead I Blueprint,15,30,48.532.738,
Black Dagger,3,17,48.507.474,
Myrmidon Navy Issue Inner Zone Vanguard SKIN,21,27,48.479.669,
Drone Link Augmentor I Blueprint,8,13,48.470.973,
Batch Compressed Pure Jaspet,4,1.249,48.432.783,
Caldari Strategic Cruiser,22,24,48.408.224,
Small Energy Locus Coordinator I,129,349,48.404.024,
Ishkur Spirit SKIN,3,3,48.394.784,
Capital Shield Extender I Blueprint,5,5,48.390.452,
Complex Organisms,12,20.492.537,48.353.453,
Shield EM Resistance Script Blueprint,8,9,48.333.334,
Medium Hybrid Discharge Elutriation II,4,25,48.289.532,
Confessor Glacial Drift SKIN,8,9,48.222.132,
Dread Guristas Nova Torpedo,5,1.366,48.141.243,
Gallente Shuttle,632,3.267,48.107.625,
Vagabond Exoplanets Hunter SKIN,3,3,48.106.574,
Federation Navy Fleet Rear-Admiral Insignia,9,12,48.098.369,
Hurricane Aurora Universalis SKIN,10,14,48.079.143,
Capital F-RX Compact Capacitor Booster Blueprint,2,2,48.000.000,
Heavy Energy Neutralizer I Blueprint,9,11,47.980.911,
Heavy Neutron Blaster I,31,206,47.958.950,
800mm Heavy Prototype Automatic Cannon,60,146,47.936.060,
Guristas Scourge Torpedo,32,83.364,47.918.704,
Large Pulse Laser Battery,4,10,47.830.000,
Nemesis Aurora Universalis SKIN,10,11,47.816.334,
Precursor Frigate,92,328,47.791.029,
Ammatar Navy Mega Beam Laser,4,6,47.771.111,
Executioner Blood Raiders SKIN,2,2,47.705.250,
Small Engine Thermal Shielding II,7,11,47.635.935,
Arbalest' Cruise Launcher I,217,1.217,47.574.996,
Armageddon Spirit SKIN,2,2,47.543.980,
Rupture Headhunter SKIN,6,10,47.493.607,
Catalyst Harmonious Ascension SKIN,1,1,47.360.000,
Compact EM Shield Hardener,491,1.749,47.345.079,
Shadow Serpentis Light Ion Blaster,4,7,47.334.060,
Men's 'Esquire' Coat (red/gold),6,6,47.279.450,
Imperial Navy Kinetic Armor Hardener,8,9,47.244.364,
Inferno Auto-Targeting Cruise Missile I,130,480.777,47.242.307,
Large Algid Hybrid Administrations Unit I,2,2,47.235.000,
Emergent Combat Intelligence,90,9.998,47.215.264,
Venture Caldari Industrial Livery SKIN,14,16,47.189.645,
Vexor Exoplanets Hunter SKIN,7,8,47.178.482,
Harbinger Navy Issue Spirit SKIN,1,1,47.168.333,
Assault Damage Control I,36,499,47.118.587,
Targeting Range Dampening Script,298,1.844,47.107.747,
Plutonium Charge XL Blueprint,4,4,47.104.046,
Federation Navy Command Sergeant Major Insignia I,159,2.039,47.098.187,
Augoror Order of Tetrimon SKIN,3,5,47.052.411,
Lachesis Spirit SKIN,2,2,47.045.022,
Superconducting Ladar Amplifier,1,35,47.020.133,
Blood Medium Pulse Laser Battery,2,2,47.020.000,
Infiltrator EV-600,15,132,47.016.935,
Domination Medium Proton Smartbomb,4,5,47.000.137,
Anathema Cold Iron SKIN,3,3,46.978.889,
Interceptors,17,17,46.962.072,
Absolution Deathglow Remnant SKIN,8,13,46.927.970,
Medium Knave Scoped Energy Nosferatu,162,390,46.921.223,
Centum C-Type Medium Remote Capacitor Transmitter,19,30,46.918.630,
Federation Navy Explosive Armor Hardener,8,9,46.884.663,
Compressed Carnotite,1,1.275,46.868.102,
Complex Ore Processing,30,36,46.765.009,
Compressed Glowing Pollucite,1,25,46.731.262,
Medium Infectious Scoped Energy Neutralizer,215,547,46.728.058,
Revelation Glacial Drift SKIN,6,7,46.710.255,
Dark Blood Energy Neutralizing Battery,2,3,46.546.981,
Nyx Glacial Drift SKIN,6,6,46.545.007,
Ammatar Navy Small Capacitor Booster,1,1,46.532.444,
Vigil Fleet Issue Exoplanets Hunter SKIN,4,4,46.485.308,
Vagabond Glacial Drift SKIN,8,8,46.459.454,
Redeemer Biosecurity Responders SKIN,8,10,46.440.948,
Carbon,1.268,102.489,46.425.627,
Osprey Navy Issue Glacial Drift SKIN,8,8,46.409.903,
Gamma XL,5,40,46.402.917,
Harbinger Raata Sunset SKIN,4,4,46.374.581,
Impel Versus Redforce SKIN,3,4,46.367.666,
Jaguar Exoplanets Hunter SKIN,5,6,46.334.471,
Enduring Conductors,32,2.491,46.334.381,
Bustard Glacial Drift SKIN,8,8,46.324.221,
Women's 'Semiotique Superluminal' Jacket,9,10,46.296.686,
Sansha Large Pulse Laser Battery,1,1,46.275.000,
Simple Asteroid Mining Crystal Type C I Blueprint,14,14,46.261.690,
Fusion XL Blueprint,4,6,46.246.667,
Passive Targeter II,34,53,46.216.530,
Federation Navy Comet Intaki Syndicate SKIN,1,1,46.210.000,
Federation Navy Iridium Charge L,12,39.247,46.199.333,
Republic Fleet 1200mm Artillery,1,2,46.179.375,
Uncommon Moon Mining Crystal Type B I,8,56,46.170.752,
Crimson Scythes Firework,63,56.585,46.145.344,
Ferox Navy Issue Steel Cardinal SKIN,21,27,46.111.922,
Batch Compressed Lustrous Hedbergite,1,1.024,46.100.000,
Dark Blood Gamma M,5,21,46.086.550,
Imperial Navy Explosive Armor Hardener,9,10,46.066.342,
Cormorant Zento Isideko Combine SKIN,5,5,46.055.768,
Omen Tash-Murkon SKIN,2,2,46.054.919,
Cheetah Dawn of Liberation SKIN,1,1,46.054.286,
Small Railgun Specialization,28,39,46.045.724,
Enyo Glacial Drift SKIN,8,10,46.016.631,
Capital Azeotropic Restrained Shield Extender Blueprint,2,3,46.000.000,
Men's 'Barbatus Medicus' Facial Augmentation,6,6,45.990.982,
Guristas Tungsten Charge S,24,91.228,45.933.956,
Interdiction Nullifier I,360,1.008,45.930.269,
Compact EM Shield Amplifier,425,953,45.927.222,
Maller Raata Sunset SKIN,6,7,45.882.464,
Vigilant Aurora Universalis SKIN,6,7,45.881.646,
Rhea Exoplanets Hunter SKIN,2,2,45.873.367,
Pontifex Purity of the Throne SKIN,1,1,45.854.081,
Republic Fleet Small Armor Repairer,3,3,45.846.722,
Dread Guristas Nova Heavy Assault Missile,3,1.774,45.773.689,
Scourge Javelin Rocket,139,888.537,45.755.947,
Coercer Sarum SKIN,3,3,45.739.711,
Large Clarity Ward Enduring Shield Booster,178,953,45.680.436,
Medium Ionic Field Projector I,57,187,45.642.131,
Scourge Precision Light Missile,99,589.7,45.641.640,
Quake S,148,972.48,45.637.718,
Large Remote Hull Repairer II,3,4,45.636.641,
Gistum A-Type Explosive Shield Amplifier,5,6,45.619.000,
Myrmidon Navy Issue Versus Redforce SKIN,4,8,45.615.058,
Low-grade Talisman Gamma,4,4,45.611.665,
True Sansha Quad Beam Laser,10,11,45.610.037,
Large Targeting System Subcontroller I,7,11,45.605.428,
Redeemer Glacial Drift SKIN,5,5,45.570.009,
Mjolnir Precision XL Cruise Missile,4,4.638,45.561.991,
Acolyte EV-300,27,237,45.548.476,
Inherent Implants 'Noble' Mechanic MC-802,4,4,45.542.549,
800mm Steel Plates I Blueprint,8,12,45.533.477,
Heretic Cold Iron SKIN,8,11,45.485.312,
Republic Fleet Thermal Shield Amplifier,2,3,45.449.000,
Anode Mega Electron Particle Cannon I,67,154,45.442.662,
Women's 'Dread' Beret (Guristas),5,9,45.415.431,
Maelstrom Dawn of Liberation SKIN,1,1,45.399.861,
Gamma L Blueprint,9,12,45.371.853,
Dealer' Light Ion Blaster I,1,3,45.366.240,
Imperial Navy Dual Light Pulse Laser,4,9,45.365.332,
Executioner Kador SKIN,3,4,45.349.218,
Small Auxiliary Thrusters I,195,525,45.346.708,
Aeon Exoplanets Hunter SKIN,2,2,45.341.931,
Warp Disruptor I,96,1.016,45.333.206,
Maelstrom Spirit SKIN,2,2,45.305.000,
Catalyst Metalbee Gallente SKIN (Permanent),3,3,45.276.876,
Damnation Cold Iron SKIN,4,4,45.260.248,
Dread Guristas Mjolnir Heavy Assault Missile,3,1.392,45.223.977,
Zainou 'Snapshot' Rockets RD-902,3,3,45.200.000,
Compressed Cubic Bistot,4,979,45.183.793,
Shadow Serpentis Explosive Energized Membrane,24,43,45.176.250,
Federation Navy Thorium Charge L,12,85.09,45.063.750,
Ultraviolet XL,5,77,45.040.206,
Large Inverted Signal Field Projector II,5,5,45.026.000,
Women's 'Semiotique Superluminal' Pants,8,8,44.997.408,
Planktic Colonies,14,30.228.646,44.950.484,
"Exotic Dancers, Male",55,1.502,44.921.411,
Xray L,124,1.408,44.829.926,
Exequror Combat Medic Section SKIN,3,5,44.817.893,
Retribution Order of Tetrimon SKIN,3,3,44.738.529,
Limited Cybernetic Subprocessor,39,50,44.735.584,
Prospect Caldari Industrial Livery SKIN,4,4,44.720.683,
Nova Rage Rocket,208,1.549.838,44.672.650,
Bantam,144,315,44.649.267,
Omen Navy Issue Warp Convergence SKIN,1,1,44.632.500,
Federation Navy Thermal Armor Hardener,6,6,44.556.619,
Large Drone Durability Enhancer I,8,11,44.543.051,
Large Degenerative Concussion Bomb I,4,6,44.471.697,
Limited Neural Boost,44,54,44.463.916,
Osprey Wiyrkomi SKIN,3,3,44.451.116,
Mobile Small Warp Disruptor I Blueprint,4,8,44.441.079,
Magus Spirit SKIN,3,3,44.429.593,
Triglavian Holographic Transcriber,25,774,44.397.998,
Magnate Tash-Murkon SKIN,2,2,44.371.750,
Gravid Capital Energy Neutralizer Mutaplasmid,1,2,44.368.027,
Dual 650mm Repeating Cannon I Blueprint,5,12,44.350.388,
Republic Fleet Nuclear S,27,66.117,44.279.749,
